2025-09-01 13:41:32,314 - Action='USER_LOGIN', Resource='authentication', UserID='None', Success='False', Details='Request successful. Status: 401'
2025-09-01 13:41:44,110 - Action='USER_REGISTRATION', Resource='users', UserID='1', Success='True', Details='Request successful. Status: 201'
2025-09-01 13:41:51,864 - Action='USER_LOGIN', Resource='authentication', UserID='None', Success='True', Details='Request successful. Status: 200'
2025-09-01 13:42:33,267 - Action='DOCTOR_REGISTRATION', Resource='doctors', UserID='2', Success='True', Details='Request successful. Status: 201'
2025-09-01 13:44:22,732 - Action='USER_LOGIN', Resource='authentication', UserID='None', Success='True', Details='Request successful. Status: 200'
2025-09-01 13:45:33,940 - Action='USER_LOGIN', Resource='authentication', UserID='None', Success='True', Details='Request successful. Status: 200'
2025-09-01 13:45:35,005 - Action='VIEW_OWN_PROFILE', Resource='users', UserID='2', Success='True', Details='Request successful. Status: 200'
2025-09-01 13:45:35,029 - Action='VIEW_OWN_PROFILE', Resource='users', UserID='2', Success='True', Details='Request successful. Status: 200'
2025-09-01 13:46:23,884 - Action='PATIENT_REGISTRATION', Resource='patients', UserID='2', Success='True', Details='Request successful. Status: 201'
2025-09-01 13:46:26,770 - Action='VIEW_ALL_PATIENTS', Resource='patients', UserID='2', Success='True', Details='Request successful. Status: 200'
2025-09-01 13:46:26,820 - Action='VIEW_ALL_PATIENTS', Resource='patients', UserID='2', Success='True', Details='Request successful. Status: 200'
2025-09-01 13:46:37,719 - Action='VIEW_CONVERSATIONS', Resource='chat', UserID='2', Success='True', Details='Request successful. Status: 200'
2025-09-01 13:46:37,737 - Action='VIEW_CONVERSATIONS', Resource='chat', UserID='2', Success='True', Details='Request successful. Status: 200'
2025-09-01 13:46:37,874 - Action='VIEW_ALL_PATIENTS', Resource='patients', UserID='2', Success='True', Details='Request successful. Status: 200'
2025-09-01 13:46:37,916 - Action='VIEW_ALL_PATIENTS', Resource='patients', UserID='2', Success='True', Details='Request successful. Status: 200'
2025-09-01 13:46:45,569 - Action='VIEW_CONVERSATIONS', Resource='chat', UserID='2', Success='True', Details='Request successful. Status: 200'
2025-09-01 13:46:45,616 - Action='VIEW_CHAT_HISTORY', Resource='chat', UserID='2', Success='True', Details='Request successful. Status: 200'
